The sum: 1499950.000000
The list edges: 
1009 217 50.000000
1018 382 50.000000
884 1018 50.000000
1203 1065 50.000000
1213 183 50.000000
1150 1213 50.000000
1215 531 50.000000
675 1215 50.000000
660 675 50.000000
863 660 50.000000
265 863 50.000000
341 863 50.000000
1219 918 50.000000
978 1219 50.000000
613 978 50.000000
1214 978 50.000000
1221 777 50.000000
1222 766 50.000000
24 1222 50.000000
593 1222 50.000000
1224 423 50.000000
71 1224 50.000000
491 71 50.000000
94 491 50.000000
1176 71 50.000000
1063 1176 50.000000
1225 1037 50.000000
760 1225 50.000000
1226 1113 50.000000
1227 41 50.000000
776 1227 50.000000
1056 1227 50.000000
581 1056 50.000000
659 581 50.000000
185 659 50.000000
377 185 50.000000
1228 766 50.000000
1233 915 50.000000
706 1233 50.000000
1236 234 50.000000
1237 246 50.000000
176 1237 50.000000
275 1237 50.000000
361 176 50.000000
1238 884 50.000000
1240 963 50.000000
1244 116 50.000000
985 1244 50.000000
1043 985 50.000000
1160 1244 50.000000
1229 1160 50.000000
712 1229 50.000000
11 712 50.000000
522 712 50.000000
676 712 50.000000
8 676 50.000000
832 712 50.000000
520 832 50.000000
704 832 50.000000
755 704 50.000000
767 755 50.000000
1245 510 50.000000
487 1245 50.000000
746 487 50.000000
819 1245 50.000000
862 819 50.000000
855 862 50.000000
902 1245 50.000000
249 902 50.000000
568 902 50.000000
9 568 50.000000
26 9 50.000000
54 26 50.000000
901 54 50.000000
924 855 50.000000
89 924 50.000000
213 924 50.000000
838 924 50.000000
58 838 50.000000
937 924 50.000000
130 937 50.000000
547 130 50.000000
324 547 50.000000
416 324 50.000000
572 937 50.000000
156 572 50.000000
603 937 50.000000
945 901 50.000000
312 945 50.000000
697 312 50.000000
1061 54 50.000000
609 1061 50.000000
1246 626 50.000000
1157 1246 50.000000
1248 187 50.000000
1250 996 50.000000
1253 224 50.000000
600 1253 50.000000
1254 872 50.000000
982 1254 50.000000
1255 44 50.000000
1257 1007 50.000000
1258 94 50.000000
807 1258 50.000000
1259 779 50.000000
1260 341 50.000000
1261 980 50.000000
949 1261 50.000000
1263 1122 50.000000
934 1263 50.000000
1217 1263 50.000000
582 1217 50.000000
1265 144 50.000000
898 1265 50.000000
1270 1007 50.000000
1275 314 50.000000
138 1275 50.000000
1276 627 50.000000
1279 1248 50.000000
59 1279 50.000000
1280 413 50.000000
1281 173 50.000000
215 1281 50.000000
961 215 50.000000
1206 961 50.000000
439 1206 50.000000
1283 919 50.000000
742 1283 50.000000
972 742 50.000000
1285 858 50.000000
1287 819 50.000000
1288 941 50.000000
1290 33 50.000000
1292 873 50.000000
171 1292 50.000000
37 171 50.000000
489 37 50.000000
654 171 50.000000
748 654 50.000000
994 748 50.000000
1038 654 50.000000
157 1038 50.000000
561 157 50.000000
1101 1038 50.000000
378 1101 50.000000
1166 378 50.000000
322 1166 50.000000
303 322 50.000000
634 1166 50.000000
1230 654 50.000000
1242 994 50.000000
31 1242 50.000000
957 1242 50.000000
617 957 50.000000
636 617 50.000000
392 636 50.000000
604 636 50.000000
91 604 50.000000
42 91 50.000000
816 604 50.000000
977 636 50.000000
1186 636 50.000000
142 1186 50.000000
1195 816 50.000000
1223 42 50.000000
1294 885 50.000000
786 1294 50.000000
1295 34 50.000000
184 1295 50.000000
1296 125 50.000000
1298 614 50.000000
1299 759 50.000000
1300 51 50.000000
1301 410 50.000000
1306 347 50.000000
134 1306 50.000000
905 134 50.000000
975 905 50.000000
1308 1060 50.000000
1309 732 50.000000
1310 1050 50.000000
1317 852 50.000000
951 1317 50.000000
1319 119 50.000000
1320 720 50.000000
140 1320 50.000000
363 1320 50.000000
1121 1320 50.000000
1323 1273 50.000000
611 1323 50.000000
1324 525 50.000000
645 1324 50.000000
672 1324 50.000000
1014 645 50.000000
1139 672 50.000000
283 1139 50.000000
933 283 50.000000
774 933 50.000000
952 774 50.000000
1158 1014 50.000000
1164 1158 50.000000
1252 1139 50.000000
685 1252 50.000000
63 685 50.000000
65 63 50.000000
1325 1052 50.000000
1326 706 50.000000
257 1326 50.000000
565 1326 50.000000
1328 217 50.000000
365 1328 50.000000
1330 1261 50.000000
402 1330 50.000000
164 402 50.000000
570 402 50.000000
590 570 50.000000
1082 590 50.000000
1335 801 50.000000
1336 780 50.000000
83 1336 50.000000
1337 282 50.000000
1338 1228 50.000000
1339 1037 50.000000
1340 768 50.000000
469 1340 50.000000
1022 1340 50.000000
1341 681 50.000000
882 1341 50.000000
500 882 50.000000
4 500 50.000000
969 882 50.000000
305 969 50.000000
1241 882 50.000000
1293 1341 50.000000
1342 1292 50.000000
1343 362 50.000000
297 1343 50.000000
103 297 50.000000
1347 1279 50.000000
1133 1347 50.000000
987 1133 50.000000
1348 876 50.000000
1349 1185 50.000000
1350 935 50.000000
448 1350 50.000000
1351 482 50.000000
1354 698 50.000000
1355 11 50.000000
351 1355 50.000000
357 1355 50.000000
1231 1355 50.000000
1264 1355 50.000000
1356 996 50.000000
1360 603 50.000000
197 1360 50.000000
1232 197 50.000000
1023 1232 50.000000
1361 69 50.000000
444 1361 50.000000
1024 444 50.000000
1312 1361 50.000000
1362 230 50.000000
840 1362 50.000000
1364 966 50.000000
834 1364 50.000000
1365 581 50.000000
1366 579 50.000000
763 1366 50.000000
1368 828 50.000000
1302 1368 50.000000
1286 1302 50.000000
680 1286 50.000000
1303 1286 50.000000
1371 852 50.000000
72 1371 50.000000
1187 1371 50.000000
438 1187 50.000000
1372 735 50.000000
699 1372 50.000000
1373 1164 50.000000
1375 735 50.000000
136 1375 50.000000
1377 800 50.000000
1379 1335 50.000000
146 1379 50.000000
216 1379 50.000000
1381 732 50.000000
1382 900 50.000000
1384 111 50.000000
194 1384 50.000000
207 1384 50.000000
86 207 50.000000
541 194 50.000000
1108 194 50.000000
381 1108 50.000000
1046 381 50.000000
1387 1295 50.000000
1389 1241 50.000000
1391 1237 50.000000
1393 648 50.000000
1394 1080 50.000000
243 1394 50.000000
161 243 50.000000
751 243 50.000000
762 161 50.000000
904 243 50.000000
981 904 50.000000
1316 1394 50.000000
1395 71 50.000000
1090 1395 50.000000
1396 5 50.000000
12 1396 50.000000
1397 614 50.000000
1401 1067 50.000000
1163 1401 50.000000
319 1163 50.000000
535 1163 50.000000
210 535 50.000000
329 210 50.000000
655 319 50.000000
870 1163 50.000000
553 870 50.000000
62 553 50.000000
1016 1163 50.000000
162 1016 50.000000
1128 319 50.000000
285 1128 50.000000
787 1128 50.000000
1179 62 50.000000
149 1179 50.000000
286 1179 50.000000
1199 535 50.000000
492 1199 50.000000
1358 210 50.000000
326 1358 50.000000
976 1358 50.000000
1402 642 50.000000
387 1402 50.000000
460 387 50.000000
644 1402 50.000000
826 460 50.000000
1403 1303 50.000000
1412 513 50.000000
1413 804 50.000000
930 1413 50.000000
10 930 50.000000
1414 676 50.000000
1415 498 50.000000
48 1415 50.000000
1057 1415 50.000000
229 1057 50.000000
931 1057 50.000000
422 931 50.000000
610 931 50.000000
1167 610 50.000000
710 1167 50.000000
1410 48 50.000000
628 1410 50.000000
1418 1168 50.000000
1422 220 50.000000
749 1422 50.000000
74 749 50.000000
1423 1389 50.000000
1424 13 50.000000
1428 296 50.000000
1429 1401 50.000000
1430 1221 50.000000
374 1430 50.000000
1165 1430 50.000000
1204 1165 50.000000
102 1204 50.000000
1380 374 50.000000
1433 885 50.000000
1434 978 50.000000
688 1434 50.000000
259 688 50.000000
1435 1023 50.000000
1436 1017 50.000000
1437 383 50.000000
1438 969 50.000000
1289 1438 50.000000
1440 522 50.000000
1445 897 50.000000
1180 1445 50.000000
1448 800 50.000000
1449 648 50.000000
150 1449 50.000000
1329 150 50.000000
1282 1329 50.000000
274 1282 50.000000
1451 955 50.000000
1453 744 50.000000
1456 800 50.000000
1457 1276 50.000000
719 1457 50.000000
1458 1021 50.000000
429 1458 50.000000
631 1458 50.000000
612 631 50.000000
630 612 50.000000
730 1458 50.000000
848 1458 50.000000
960 630 50.000000
1100 429 50.000000
1409 960 50.000000
1446 630 50.000000
1459 328 50.000000
22 1459 50.000000
289 1459 50.000000
1461 896 50.000000
1463 108 50.000000
1327 1463 50.000000
23 1327 50.000000
1464 191 50.000000
1444 1464 50.000000
242 1444 50.000000
96 242 50.000000
1200 242 50.000000
1465 759 50.000000
1019 1465 50.000000
1468 779 50.000000
1134 1468 50.000000
1469 232 50.000000
1470 1387 50.000000
126 1470 50.000000
517 126 50.000000
342 517 50.000000
806 126 50.000000
1472 43 50.000000
1473 262 50.000000
1189 1473 50.000000
118 1189 50.000000
1419 118 50.000000
1475 851 50.000000
728 1475 50.000000
560 728 50.000000
1476 79 50.000000
476 1476 50.000000
1130 476 50.000000
1478 1336 50.000000
1010 1478 50.000000
1035 1010 50.000000
1479 704 50.000000
1480 948 50.000000
334 1480 50.000000
253 334 50.000000
687 334 50.000000
1481 188 50.000000
1485 41 50.000000
1486 715 50.000000
1488 1055 50.000000
1489 627 50.000000
1490 780 50.000000
1491 50 50.000000
1496 666 50.000000
724 1496 50.000000
788 724 50.000000
773 788 50.000000
442 773 50.000000
300 442 50.000000
38 300 50.000000
114 38 50.000000
821 724 50.000000
881 300 50.000000
25 881 50.000000
536 25 50.000000
471 536 50.000000
836 25 50.000000
997 114 50.000000
1408 471 50.000000
1494 836 50.000000
917 1494 50.000000
551 917 50.000000
418 551 50.000000
1001 917 50.000000
155 1001 50.000000
592 1001 50.000000
293 592 50.000000
1192 917 50.000000
1374 155 50.000000
484 1374 50.000000
1431 418 50.000000
1498 314 50.000000
411 1498 50.000000
435 411 50.000000
694 435 50.000000
784 411 50.000000
1500 1055 50.000000
1505 1063 50.000000
443 1505 50.000000
1507 1191 50.000000
1508 660 50.000000
1509 291 50.000000
1510 625 50.000000
1511 662 50.000000
912 1511 50.000000
1030 1511 50.000000
1513 271 50.000000
120 1513 50.000000
464 1513 50.000000
473 120 50.000000
651 120 50.000000
